iname,month,maxsal,logo,minsal,city,scale,reslan,reject_type,attraction,ftype,collected,cuuid,is_hr,job_other_info,degree,delivered,mina_url,chance,address,endtime,day,info,url,industry,refresh,cname,job_label,job_requirements,invited,overdue
数据标注实习生,4,200,https://sxsimg.xiaoyuanzhao.com/14/8F/14689E3F212A0FBA3ABF1BD16441D28F.jpg,150,北京,50-150人,中文,,"['晋升空间', '团队大牛', '每日双餐', '良好氛围', '学习机会', '前沿技术']",1,0,com_41q9lpgk6qwf,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_i880hu8qepuh,面议,中国普天大厦东区3层,2020-12-31,4,"<p>
	<span style=""font-size:16px;color:#333333;background-color:#ffffff;"">【工作职责】</span> 
</p>
<p>
	<br>
</p>
<p>
	1. 负责金融信息、金融知识、国内外金融新闻等各类金融领域文本资料的整理和标注，建立深度学习的样本库；
</p>
<p>
	<br>
</p>
<p>
	<br>
</p>
<p>
	<span>2.为机器模型、文字、图像等标注数据集提供支持，并协助优化模型效果；</span> 
</p>
<p>
	3. 与算法工程师沟通和探讨数据方面的各种细节问题，完成标注规范的制定；
</p>
<p>
	4.<span>参与跨部门的沟通与合作，保证数据的高质量交付。</span> 
</p>
<p>
	<span><br>
</span> 
</p>
<p>
	<span style=""font-size:16px;"">【我们期待这样的你】</span> 
</p>
<p>
	<span>1.本科及以上，具有计算机、金融、语料标注相关经验背景者优先</span> 
</p>
<p>
	2. 具备良好的沟通能力，学习能力，逻辑思维能力，团队精神
</p>
<p>
	3.<span>工作细心、有耐心、有责任心，保证数据的准确性，善于发现和思考问题</span> 
</p>
<p>
	4. 近期入职，实习期不少于三个月
</p>
<p>
	<br>
</p>
<p>
	<span style=""font-size:16px;"">【薪酬福利】</span> 
</p>
<p>
	1. 2000-8000元/月，公司提供餐食
</p>
<p>
	2. 弹性工作机制
</p>
<p>
	3. 实习表现优秀，可以通过考核转正，薪酬富有竞争力
</p>
<p>
	4. 超好的办公环境，零食水果无限。
</p>
<p>
	<br>
</p><p style='margin-top: 1.5rem;'><strong>该职位同时接受寒假实习。</strong></p>",https://www.shixiseng.com/intern/inn_i880hu8qepuh,计算机/互联网,2020-02-03 11:26:59,香侬科技,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': False}",,0,0
BI数据分析实习,6,200,https://sxsimg.xiaoyuanzhao.com/3D/6C/3D1382E4A285B13C55FFBC398474626C.png,120,上海,少于15人,不限,,"['福利多', '待遇好', '有前景']",1,0,com_nvrk0ect27gc,False,,不限,0,pages/zwDetail/zwDetail?uuid=inn_pfdkng2axvbc,可转正,福德大厦北楼2410（靠近巴黎春天）,2020-02-08,5,"<div>
	<div>
		<p>
			工作职责： 1. 负责完善BI平台规划设计，需求整理分发及跟进 2. 负责定义数据逻辑算法，数据模型搭建、设计数据报表呈现结构，确保数据输出的精度 3. 负责产品源数据整理，输出运营数据分析报告，为运营提供基于业务的数据指导和建议 4. 负责跟进推动BI平台的开发工作 岗位要求： 1. 至少3年以上游戏数据分析和产品设计相关经验，统计、数学、计算机相关专业优先 2. 熟练使用SQL及其他分析工具，对于大数据解决方案有自己的见解 3. 具备良好的沟通协调能力，及很强的执行力及解决问题的能力 4. 具有独立思考，能自我驱动且对数据敏感
		</p>
		<div>
			<br>
		</div>
	</div>
</div>
<div>
</div>",https://www.shixiseng.com/intern/inn_pfdkng2axvbc,计算机/互联网,2020-02-03 03:19:09,宇络科技,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': False}",,0,0
数据产品实习生,9,200,https://sxsimg.xiaoyuanzhao.com/A7/EF/A7190AE80097871D5AF528A1F3A5EBEF.png,150,南昌,少于15人,不限,,['提供转正机会'],1,0,com_3u5nga0fccht,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_qjiiamsawm0h,可转正,南昌市 东湖区 红谷滩新区,2020-02-16,5,"1、理解产品需求，梳理好产品需要的数据类型和数据量<br>
2、配合深圳研发部实地采集数据<br>
<br>
<p>
	因为公司是做工业领域人工智能的，所以要求本科是计算机或者机械相关专业。最好能有比较长的实习期，实习合格有来深圳全职的机会
</p>
<p>
	<br>
</p>
<p>
	任职要求
</p>
1、 计算机或者机械相关专业<br>
2、能够在南昌有比较长的实习时间<br>
3、成绩优秀<br>",https://www.shixiseng.com/intern/inn_qjiiamsawm0h,计算机/互联网,2020-02-02 18:47:01,贝尔信息,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': False}",,0,0
数据挖掘实习生-核心广告系统,3,400,https://sxsimg.xiaoyuanzhao.com/69/8D/69D89E01806ACAEE6472C6D5D5C7CC8D.jpg,400,北京,2000人以上,不限,,"['过亿用户', '成长空间', '行业大牛']",1,0,com_tyju1cjdpntm,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_54pcqax2c4b6,可转正,北京,2020-03-31,4,"<p>
	1、负责广告数据的统计工作，高峰处理10W/s条数据的挑战，针对大量数据不同维度的统计，聚合，实时给出统计结果；<br>
2、使用主流的开源组件搭建数据仓库，数据平台；调研学习符合公司应用场景的可视化工具，满足公司多源数据展示需求；<br>
3、对海量的广告数据做有出有效的分析，数据驱动提升对广告平台，广告主收益；<br>
4、接收应届生，表现优秀者有转正机会。
</p>
<p>
	<br>
职位要求：<br>
1、计算机相关专业，基础扎实；<br>
2、 熟悉linux平台，了解一门脚本语言 (shell/python 等) ，有一定的计算机基础，具有良好的编程习惯和算法基础，编码能力强；<br>
3、较强的分析问题和解决问题的能力，学习能力强是加分项；<br>
4、有MR，hive，stom，spark使用经验，有大数据处理经验，有实时数据流处理经验优先， 有统计分析经验加分。
</p><p style='margin-top: 1.5rem;'><strong>该职位同时接受寒假实习和长期实习。</strong></p>",https://www.shixiseng.com/intern/inn_54pcqax2c4b6,移动互联网,2020-02-02 18:12:14,字节跳动,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': True}",,0,0
量化投资实习生,7,150,https://sxsimg.xiaoyuanzhao.com/BB/E6/BBC038C4C47BAB855950E4845C3EA6E6.png,120,北京,2000人以上,不限,,['大厂'],1,0,com_00egljcux657,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_zsnc2hmx2yrq,面议,北京市亦庄经济开发区京东集团总部大厦,2021-01-01,5,"<li style=""text-align:left;"">
	<span style=""line-height:20px;"">工作内容：</span>&nbsp;<span style=""line-height:20px;"">1、日常的数据维护和数据清理； 2、处理和挖掘金融数据，进行量化策略的开发工作； 3、辅助投资经理日常的投资工作。</span> 
</li>
<li style=""text-align:left;"">
	<span style=""line-height:20px;"">任职资格：</span>&nbsp;<span style=""line-height:20px;"">1、熟练掌握SQL语言； 2、熟练掌握Python语言，会使用Pandas，SK-Learn等常见计算库； 3、有经济、金融或者财务基础知识； 4、能尽快到岗，一周工作至少四天，必须能实习够三个月。 其他加分项： 1、有实际量化策略开发经验为佳，如多因子、择时、套利、CTA等策略； 2、对机器学习项目有一定认识，了解常见机器学习算法者为佳； 3、有金融开源项目或接口，如TuShare、Wind（万德）API、Google Finance、Yahoo Finance 使用经验者为佳。</span> 
</li>",https://www.shixiseng.com/intern/inn_zsnc2hmx2yrq,计算机/互联网,2020-02-01 20:35:36,京东数科,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': True}",,0,0
数据分析师--西宁,12,150,https://sxsimg.xiaoyuanzhao.com/BF/A0/BFC35B81764259089B7632BE0047DAA0.jpg,100,西宁,2000人以上,不限,,"['一对一面授方式', '充足成长空间', '提供转正机会']",1,0,com_qxayafce17mw,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_ppt2oeuwnrhc,可转正,青海省西宁市城东区昆仑东路48号中国移动,2020-12-31,5,"<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">岗位职责：</span><br>
<p>
	<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">1、</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">进行目标客户的需求分析研究，包括使用数据库进行</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">数据提取和处理，建立分析及数据挖掘模型；&nbsp;&nbsp;</span>
</p>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">2、</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">辅助进行电信咨询项目的执行，包括涉及电信营销、客户研究、流程梳理、数据业务运营等方面的专题研究等；&nbsp;&nbsp;</span><br>
<p>
	<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">3、</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">对于研究的成果能够协助研究报告的编写；&nbsp;</span>
</p>
<p>
	<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">任职要求：</span>
</p>
<p>
	<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">1、较好的数学或统</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">计学教育背景，</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">计算机、统计学等相关专业优先考虑</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">；&nbsp;</span>
</p>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">2、熟悉常见的概率统计、数据挖掘、统计分析算法；&nbsp;</span><br>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">3、熟练使用SAS、SPSS等分析软件；&nbsp;</span><br>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">4、熟悉Hadoop、Mahout、Weka,R等大数据相关技术；&nbsp;</span><br>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">5、良好的学习意愿和学习能力，能够快速掌握工作所需技能；&nbsp;</span><br>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">6、具备对数据的超凡敏感度、敏捷的思维与解决复杂问题的能力；&nbsp;</span><br>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">7、具有良好的跨部门沟通能力和团队协作能力；&nbsp;&nbsp;</span><br>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">8、具备SQL、oracle、linux、DB2等知识技能；&nbsp;</span><br>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">实习时间：&nbsp;</span><br>
<span style=""color:#888888;font-size:16px;background-color:#ffffff;"">本次招聘主要面对2020年毕业</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">研究生</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">或</span><span style=""color:#888888;font-size:16px;background-color:#ffffff;"">大学生，未来期望转正人员准备。</span>",https://www.shixiseng.com/intern/inn_ppt2oeuwnrhc,互联网/移动互联网/电子商务,2020-01-31 12:37:28,亚信科技,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': False}",,0,0
实习数据研发工程师,12,250,https://sxsimg.xiaoyuanzhao.com/B3/BD/B38270C858C5B345153874B1EAB091BD.png,200,"北京,深圳,上海,杭州",2000人以上,中文,,['技术牛'],1,0,com_fjee0h5fkwmb,False,,不限,0,pages/zwDetail/zwDetail?uuid=inn_binixnkuwefm,可转正,"北京,深圳,上海,杭州",2020-07-31,5,<div>如果你所学专业是计算机、数学、统计、数据科学与大数据技术等相关专业； 如果你有强的动手能力和学习能力，熟悉一门数据处理语言，如SQL、JAVA、Python、Perl等，熟悉unix或者linux操作； 如果你具备扎实的专业基础，良好的沟通能力和团队合作，主动积极，乐于面对挑战； 如果你有参与过数据处理、分析、挖掘等相关项目更好； 如果你对Hadoop、Hive、Hbase等分布式平台有一定的理解更好； 那么成为数据工程师吧，这里就是你的舞台。</div><div><br> </div>,https://www.shixiseng.com/intern/inn_binixnkuwefm,计算机/互联网,2020-01-30 16:08:35,阿里巴巴,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': True}",,0,0
数据挖掘实习生,4,300,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,250,北京,2000人以上,中文,,"['顶级AI科学家指导', '免费班车', '晚餐', '不间断零食水果']",1,0,com_bcazbfkbzt9d,False,,不限,0,pages/zwDetail/zwDetail?uuid=inn_fuorxauhqt0t,可转正,滴滴大厦,2020-02-12,5,"<p>
	工作职责：<span><br>
1</span>、涉及机器学习、深度学习、数据挖掘、统计和运筹学等一系列的专业领域<span></span> 
</p>
<p>
	任职要求：<span><br>
1</span>、研究生以上学历，扎实的统计学、模式识别、机器学习理论基础，能够利用高等数学知识推演高维数学模型<span><br>
2</span>、熟悉聚类、分类、回归、图模型等机器学习算法，对常见的核心算法理解透彻<span><br>
3</span>、具有扎实的计算机操作系统、数据结构等编程基础，熟悉至少一门编程语言例如<span>Python/</span><span>R<br>
4</span>、对<span>Map-Reduce</span>模型有一定理解，了解<span>Hadoop</span>、<span>Spark</span>、<span>Storm</span>等大规模数据存储与运算平台<span><br>
5</span>、有<span>ACM</span>、建模等竞赛有一定成绩者优先<span><br>
6</span>、能够积极创新， 乐于面对挑战， 负责敬业。优秀的团队合作精神，诚实，勤奋，严谨<span></span> 
</p>",https://www.shixiseng.com/intern/inn_fuorxauhqt0t,计算机/互联网,2020-01-29 23:29:17,滴滴出行,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': True}",,0,0
机器学习实习生,5,300,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,250,北京,2000人以上,中文,,"['顶级AI科学家指导', '免费班车', '晚餐', '不间断零食水果']",1,0,com_bcazbfkbzt9d,False,,不限,0,pages/zwDetail/zwDetail?uuid=inn_ibgeynydrkqo,可转正,中关村软件园-滴滴大厦,2020-02-12,4,"<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">工作职责：&nbsp;</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">1、机器学习算法的研究与应用&nbsp;</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">2、时空序列数据分析与建模&nbsp;</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">3、自然语言处理</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;""></span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">任职要求：&nbsp;</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">1、在机器学习、自然语言处理、数据挖掘、人工智能等相关领域有一定基础，本硕博均可&nbsp;</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">2、熟练使用一种或多种编程语言，如Python、C/C++、Java，有较强的算法和数据结构功底&nbsp;</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">3、熟练使用MySQL，熟悉数据库基本操作</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">4、良好的自我驱动能力、学习能力，对工作认真负责，踏实可靠</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">4、研究发表论文/工程代码类工作均可，工作时间兼职/全职均可&nbsp;</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;""></span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">优先条件：&nbsp;</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">1、有相关领域研究经历，在NIPS ICML KDD ICLR AAAI CVPR ACL EMNLP等会议或期刊上发表过论文&nbsp;</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">2、熟悉相关领域前沿技术，在各类比赛（如KDD CUP，Kaggle，天池等）取得过优秀名次</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">3、有相关领域的实习经历，熟悉大数据在业务场景下的应用</span><br>
<span style=""font-size:14px;line-height:21px;color:#191f25;background-color:#ffffff;"">4、熟悉深度学习算法，有深度学习模型开发经验</span>",https://www.shixiseng.com/intern/inn_ibgeynydrkqo,计算机/互联网,2020-01-29 23:27:42,滴滴出行,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': True}",,0,0
数据分析师,12,200,https://sxsimg.xiaoyuanzhao.com/AC/ED/AC03C894288409353BE81A86678956ED.png,120,北京,15-50人,中文,,"['培训学习', '团建旅游', '转正机会', '零食补贴', '上班自由']",1,0,com_vhwxsg2wpi97,False,,不限,0,pages/zwDetail/zwDetail?uuid=inn_mzb443ma8z08,可转正,北京三一重工产业园,2020-09-22,5,"<p>
	职责：
</p>
<p>
	1、深入了解业务，提炼数据内容；
</p>
<p>
	2、生产数据报告，并负责解释数据
</p>
<p>
	3、与业务和客户沟通，讲解数据并指引业务工作
</p>
<p>
	要求：
</p>
<p>
	计算机、数学、统计分析、金融等相关专业方向，熟练掌握统计分析的知识，主动好学，积极上进，能够承受一定的压力。
</p>
<p>
	愿意深入在广告和媒体行业发展。
</p>
<p>
	熟练使用Excel等软件，能够撰写PPT
</p>",https://www.shixiseng.com/intern/inn_mzb443ma8z08,计算机/互联网,2020-01-28 23:33:30,00DATA,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': False}",,0,0
数据分析实习生,3,200,https://sxsimg.xiaoyuanzhao.com/14/E8/144FED05CCF1DFFED342748A63B236E8.png,150,广州,500-2000人,中文,,"['学习成长机会', '午餐晚餐补助等']",1,0,com_ykquagevdqvm,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_1k4o1gm4vkpy,面议,新港东路148号环球贸易中心27楼,2020-02-29,5,"<p>
	职位描述：
</p>
<p>
	1、满足业务日常看数，分析，可视化需求；
</p>
<p>
	2、分析业务变化，在关键节点进行深入分析，尝试为业务策略制定、效果评估和策略优化提供洞见；
</p>
<p>
	3、定期进行经营状况的全面诊断，发现业务问题和机会点，为上层决策提供参考；
</p>
<p>
	4、基于业务需求和数据价值洞察，设计并落地数据服务，推动数据化运营 ；
</p>
<p>
	<br>
</p>
<p>
	资格要求：
</p>
<p>
	1、2021届本科及以上学历，数学、 统计学、经济学、计算机等相关专业；
</p>
<p>
	2、对SQL娴熟和对数据敏感， 具有缜密的逻辑思维能力、数据洞察能力和沟通协调能力；
</p>
<p>
	3、具有探索精神，能从数据中发现问题和机会点以支持经营决策；
</p>
<p>
	4、责任心强，细致认真，能承受较强的工作压力，热爱数据分析工作；
</p>
<p>
	5、熟练使用Excel、PPT、数据分析软件R/python更佳，有较好的文字、数据、图表呈现能力。
</p><p style='margin-top: 1.5rem;'><strong>该职位同时接受寒假实习。</strong></p>",https://www.shixiseng.com/intern/inn_1k4o1gm4vkpy,电子商务,2020-01-22 19:48:55,Fordeal,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': False}",,0,0
data engineer 实习生,6,250,https://sxsimg.xiaoyuanzhao.com/67/80/6769EBB316A328280917EB3B97CB6A80.jpg,200,上海,50-150人,不限,,"['外企', '专业培养']",1,0,com_ihiirmsxv0y9,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_6m2bdan76q2t,可转正,江西中路450号3F,2020-02-29,5,"<div>
	<div>
		Key responsibilities:<br>
1.Help data engineer build data pipelines with conventional and big data technologies；<br>
2.Work with data scientist. Apply data analytic techniques to maximize business value and impact from data；<br>
3.Work with data scientist. Apply data analytic techniques to maximize business value and impact from data；<br>
4.Help to build data platform within our clients to secure delivery of projects；
	</div>
	<div>
		Qualifications:Education and Experience<br>
1.Bachelor or master degree in Computer Science and other relevant subjects；<br>
2.Experienced in at least one programming. For example, Java, Python, Scala, etc；<br>
3.Knowledge of SQL and database design；<br>
4.Knowledge about common big data technologies like Spark, Hive, Hadoop, etc；<br>
5.Communication skills in English and Mandarin Chinese (both oral and written)；<br>
6.Passion for machine learning and innovation； <br>
7.Knowledge about UI design, web development, mobile app development is a plus；<br>
8.Knowledge about cloud platforms is a plus. For example, Aliyun, GCP；<br>
9.Communication skills in French is a plus；
	</div>
</div>
<div>
	<br>
<br>
<br>
<br>
<br>
</div>",https://www.shixiseng.com/intern/inn_6m2bdan76q2t,互联网 广告,2020-01-22 18:20:28,Artefact,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': False}",,0,0
数据挖掘实习生,3,300,https://sxsimg.xiaoyuanzhao.com/3D/31/3DFFD4ED4083B7B51971DC8210DEAD31.png,250,北京,500-2000人,中文,,"['免费三餐', '免费班车', '免费健身房']",1,0,com_a3zd13corkxd,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_ezjwvz2njkdn,可转正,北京网易研发中心,2021-04-01,4,"<strong>【</strong><span><strong>工作职责</strong></span><strong>】</strong><br>
从互联网的海量信息中抓取并且筛选出有价值的单语和双语数据，帮助机器翻译及相关产品提高翻译质量和语种支持能力，包括但不限于：<br>
&nbsp;* 机器翻译语料系统的抓取策略设计，模型构建，数据抽取等相关算法设计和开发<br>
&nbsp;* 新增语种的语言检测、分句、词法分析；<br>
&nbsp;* 双语对齐算法的实现和改进；<br>
&nbsp;* 双语数据的清洗和筛选；<br>
&nbsp;* 语料数据的分类；<br>
&nbsp;* 由于需要覆盖大量长尾数据及格式，对内容的精确抽取涉及到非常多的挑战。&nbsp;<br>
<br>
<strong>【</strong><span><strong>能力要求</strong></span><strong>】</strong><br>
&nbsp;* 计算机相关专业本科以上学历；<br>
&nbsp;* 有以下任意领域的实践经验：数据挖掘 / 信息检索 / 自然语言处理 / 机器学习 / 统计分析&nbsp; / Hadoop / Spark；<br>
&nbsp;* 对技术充满热情，勇于尝试，有较强创新的能力和快速学习能力；<br>
&nbsp;* 较强的发现、分析和解决技术问题的工程能力；<br>
&nbsp;* 熟悉Linux，熟悉java、C/C++、Python开发；<br>
&nbsp;* 良好的主动性、逻辑思维能力和沟通能力。<br>
<br>
<strong>【</strong><span><strong>加分项</strong></span><strong>】</strong><br>
&nbsp;* 精通Map-Reduce模型，具有使用Hadoop、Hive、Spark、Nutch等相关平台进行大数据处理和挖掘的经验；<br>
&nbsp;* 有过Office/PDF/HTML/XML等多种格式文档解析经验；<br>
&nbsp;* 懂得英语以外的其他外语；<br>
&nbsp;* 踏实，追求细节和完美。<br>
&nbsp;<br>
<strong>【</strong><span><strong>时间要求</strong></span><strong>】</strong><br>
&nbsp; 每周保证32小时的工作时间（其中至少12小时为工作日白天），三个月至半年的实习期<br><p style='margin-top: 1.5rem;'><strong>该职位同时接受寒假实习和长期实习。</strong></p>",https://www.shixiseng.com/intern/inn_ezjwvz2njkdn,移动互联网,2020-01-22 16:23:35,网易有道,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': True}",,0,0
软件开发工程师,3,250,https://sxsimg.xiaoyuanzhao.com/04/11/04C44C9C7187F8CF2A5239FAC0B95511.jpg,150,北京,2000人以上,不限,,['转正机会'],1,0,com_mgts3c6htxn5,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_muwmdix0ldzg,可转正,京东集团总部,2020-02-04,5,"<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">工作职责：</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">负责京东礼品卡核心系统设计及研发；</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">具有扎实的程序设计基本功，能够独立承担功能模块的设计开发；</span><br>
<br>
<br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">任职要求：</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">1. 20年毕业的本科及以上学历在校大学生，限985 211学校；</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">2. 对软件开发工程师的职业有所了解，有相关互联网项目产品实习经验者优先；</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">3. JAVA基础扎实，熟悉常用数据结构、常见设计模式；</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">4. 熟悉常用缓存，如redis；</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">5. 熟悉Spring、mybatis等开源软件架构；</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">6. 了解数据库技术原理（Oracle、MySQL和NoSQL等) ；</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">7. 因是核心安全级别较高产品线，需要有风控及安全意识，对自己开发的项目高度负责。</span><br>
<br>
<br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">公司福利：</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">工作表现优秀者提供转正机会，明年3月能确定；</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">班车路线遍布全北京，非京籍提供住房补贴以及总部提供的花式福利；</span><br>
<br>
<span style=""color:#000000;font-size:14px;line-height:20px;background-color:#ffffff;"">会以正式员工的标准来培养和要求你，学习与成长空间大。</span>",https://www.shixiseng.com/intern/inn_muwmdix0ldzg,计算机/互联网,2020-01-21 11:37:35,京东,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': True}",,0,0
数据分析实习生,8,140,https://sxsimg.xiaoyuanzhao.com/57/57/57F680C0D050B0CCAAA912FC45A90357.png,120,上海,2000人以上,中文 英文,,"['良好的工作环境', '靠谱的领导同事']",1,0,com_2ikcxeorxr0c,False,,本科,0,pages/zwDetail/zwDetail?uuid=inn_gotsiptkwv0d,可转正,上海黄浦区保屯路,2020-02-03,4,"<span> </span> <p><span style=""line-height:107%;""><span>请在投递前认真查看JD</span></span> </p><p><span style=""line-height:107%;""><span><br> </span></span> </p><p><span style=""background-color:white;""> </span></p><p><u>数据分析师实习生岗位</u>：</p><p><br></p><p><u>职位描述</u>：</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Data tracking and analyzing</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Routine report or ad hoc<span>数据的整理以及其他相关项目的辅助工作</span> </p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
使用阿里系数据银行&amp;<span>策略中心，或京东系九数，进行人群画像及圈包等相关工作
（会提供相应的技能培训）</span> </p><p><br></p><p><u>岗位要求</u>：</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
本科/<span>研究生；统计学</span>/<span>数学</span>/<span>经济</span>/<span>市场营销</span>/<span>信息管理等相关专业</span> </p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
对数据敏感，逻辑性强，学习能力强，沟通能力强</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
擅长Python, <span>熟练使用</span>PPT<span>以及</span>Excel<span>，会统计模型优先考虑</span> </p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
英文工作系统环境，需要优秀的英文读写能力</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
每周3-5<span>天，可立刻入职，持续</span>6<span>个月以上</span> </p><p><br></p><p>本科&nbsp;120/day or<span>研究生</span>140/day</p><p>表现好的同学有留用转正机会</p> <p></p><p><br></p><br> <p><br></p><span> </span>",https://www.shixiseng.com/intern/inn_gotsiptkwv0d,计算机/互联网,2020-01-20 09:27:00,安客诚信息,"{'is_ji': False, 'is_quick': False, 'is_summer': False, 'is_rpo': False, 'is_hirer': False}",,0,0
